seed,model_year_index,model_day,month,day_in_month,temperature_mean_c,temperature_max_c,temperature_min_c,precipitation_total_mm,sunshine_equivalent_hours,humidity_pct,wind_m_s,snow_cover_day,ice_day,frost_day,summer_day,heat_day,precip_day_ge_1mm,precip_day_ge_5mm,precip_day_ge_10mm,precip_day_ge_50mm
3263,0,62,3,2,4.077333333333333,10.36,-1.332,7.9910000000000005,3.122,76.25270833333333,2.3379583333333334,False,False,True,False,False,True,True,False,False
3263,0,63,3,3,5.832791666666666,11.818,0.857,8.290000000000001,6.226,76.44604166666666,2.763458333333334,False,False,False,False,False,True,True,False,False
3263,0,64,3,4,4.9365,9.992,-0.367,0.0,5.316,72.00408333333333,2.2154166666666666,False,False,True,False,False,False,False,False,False
3263,0,65,3,5,4.591666666666667,10.792,-0.651,4.505,3.7270000000000003,74.465,2.1333333333333333,False,False,True,False,False,True,False,False,False
3263,0,66,3,6,4.354916666666667,9.696,-0.778,2.217,5.103,75.33241666666667,2.3218333333333336,False,False,True,False,False,True,False,False,False
3263,0,67,3,7,4.099166666666666,11.459,-3.572,14.733,4.479,75.60770833333333,2.1962916666666668,False,False,True,False,False,True,True,True,False
3263,0,68,3,8,4.175541666666667,8.19,-0.199,2.053,1.962,75.33304166666666,2.303291666666667,False,False,True,False,False,True,False,False,False
3263,0,69,3,9,4.464708333333333,10.029,0.303,0.0,3.673,73.54191666666667,2.6275416666666667,False,False,False,False,False,False,False,False,False
3263,0,70,3,10,4.3996249999999995,9.806,0.347,0.0,7.962,72.632625,2.1705833333333335,False,False,False,False,False,False,False,False,False
3263,0,71,3,11,5.171291666666667,10.701,0.106,0.0,5.506,73.20625,2.2155,False,False,False,False,False,False,False,False,False
3263,0,72,3,12,4.585416666666666,10.414,-1.408,0.0,4.508,72.49545833333333,2.4061666666666666,False,False,True,False,False,False,False,False,False
3263,0,73,3,13,5.254666666666666,10.675,0.369,0.0,5.733,72.29108333333333,2.0897083333333333,False,False,False,False,False,False,False,False,False
3263,0,74,3,14,4.670791666666667,10.957,-1.162,0.0,2.942,73.10229166666666,2.2787083333333333,False,False,True,False,False,False,False,False,False
3263,0,75,3,15,4.402541666666667,9.296,-1.635,0.0,2.629,74.18479166666667,2.3314583333333334,False,False,True,False,False,False,False,False,False
3263,0,76,3,16,5.774375,12.399,-0.572,0.0,5.804,72.80416666666666,2.073583333333333,False,False,True,False,False,False,False,False,False
3263,0,77,3,17,5.292041666666667,10.056,-1.367,0.0,4.881,71.737125,2.1813333333333333,False,False,True,False,False,False,False,False,False
3263,0,78,3,18,5.494541666666667,10.437,0.242,1.346,5.5120000000000005,72.688625,2.4400833333333334,False,False,False,False,False,True,False,False,False
3263,0,79,3,19,5.425125,8.586,2.664,0.0,4.403,71.7895,2.254541666666667,False,False,False,False,False,False,False,False,False
3263,0,80,3,20,5.398291666666666,10.495,-1.393,4.843,4.717,75.31533333333333,2.140125,True,False,True,False,False,True,False,False,False
3263,0,81,3,21,4.994208333333334,8.421,0.802,0.237,5.301,71.393625,1.7462499999999999,False,False,False,False,False,False,False,False,False
3263,0,82,3,22,5.23225,10.585,-0.668,3.661,7.721,73.65362499999999,1.9713333333333332,False,False,True,False,False,True,False,False,False
3263,0,83,3,23,3.9905833333333334,7.771,-1.323,3.127,3.33,75.20504166666667,2.6019166666666664,False,False,True,False,False,True,False,False,False
3263,0,84,3,24,6.257124999999999,10.14,0.847,0.0,5.38,71.56945833333333,2.196375,False,False,False,False,False,False,False,False,False
3263,0,85,3,25,5.287166666666667,10.438,-1.795,0.0,2.65,73.52391666666666,2.3926250000000002,False,False,True,False,False,False,False,False,False
3263,0,86,3,26,4.769833333333334,8.491,-0.112,0.0,4.922,72.6825,2.363166666666667,False,False,True,False,False,False,False,False,False
3263,0,87,3,27,5.054958333333333,12.228,0.672,9.909,2.666,75.948875,2.468875,False,False,False,False,False,True,True,False,False
3263,0,88,3,28,5.273416666666667,10.416,0.717,0.0,7.6049999999999995,72.31375,2.052541666666667,False,False,False,False,False,False,False,False,False
3263,0,89,3,29,5.4705,10.665,-0.859,0.0,4.8580000000000005,73.47333333333333,2.1793333333333336,False,False,True,False,False,False,False,False,False
3263,0,90,3,30,4.093,9.033,-1.448,0.772,2.702,74.17258333333334,2.413125,False,False,True,False,False,False,False,False,False
3263,0,91,4,1,8.809916666666666,14.007,2.347,0.023,7.359999999999999,71.03358333333334,2.05525,False,False,False,False,False,False,False,False,False
3263,0,92,4,2,10.091458333333334,15.032,4.292,1.03,6.635,70.65575,2.32075,False,False,False,False,False,True,False,False,False
3263,0,93,4,3,8.517416666666668,14.363,1.966,15.518,6.347,73.32545833333333,2.1492916666666666,False,False,False,False,False,True,True,True,False
3263,0,94,4,4,7.243041666666667,12.388,0.24,0.035,6.845,71.486375,2.10675,False,False,False,False,False,False,False,False,False
3263,0,95,4,5,8.764708333333333,16.959,4.214,0.0,6.872,70.41045833333334,1.9615,False,False,False,False,False,False,False,False,False
3263,0,96,4,6,10.319458333333333,15.064,3.335,0.0,5.601999999999999,68.24404166666666,2.077166666666667,False,False,False,False,False,False,False,False,False
3263,0,97,4,7,9.305583333333333,14.452,3.054,0.0,4.2860000000000005,68.63191666666667,2.0840833333333335,False,False,False,False,False,False,False,False,False
3263,0,98,4,8,9.849,15.28,4.721,5.1259999999999994,4.766,69.57983333333333,2.1650833333333335,False,False,False,False,False,True,True,False,False
3263,0,99,4,9,7.5646249999999995,15.427,-1.002,0.0,9.471,69.81579166666667,2.3274583333333334,False,False,True,False,False,False,False,False,False
3263,0,100,4,10,7.28,11.145,2.682,10.967,2.414,75.13345833333334,2.6567083333333334,False,False,False,False,False,True,True,True,False
3263,0,101,4,11,9.126583333333334,15.815,1.945,2.143,9.445,71.91079166666667,2.248375,False,False,False,False,False,True,False,False,False
3263,0,102,4,12,9.38275,15.302,3.327,0.0,8.525,68.75695833333333,2.1666250000000002,False,False,False,False,False,False,False,False,False
3263,0,103,4,13,7.959333333333333,14.958,1.151,0.0,9.519,69.91658333333334,2.2883333333333336,False,False,False,False,False,False,False,False,False
3263,0,104,4,14,9.6225,17.549,1.155,3.384,7.079,69.76808333333334,2.521291666666667,False,False,False,False,False,True,False,False,False
3263,0,105,4,15,8.706208333333333,13.081,3.409,3.303,5.124,71.70279166666667,2.197625,False,False,False,False,False,True,False,False,False
3263,0,106,4,16,8.566666666666666,13.429,2.968,0.0,7.705,70.11458333333333,2.1111666666666666,False,False,False,False,False,False,False,False,False
3263,0,107,4,17,8.639875,14.744,-0.208,0.0,9.355,69.80458333333333,2.3394166666666667,False,False,True,False,False,False,False,False,False
3263,0,108,4,18,9.739041666666667,17.412,5.327,0.0,8.359,69.70395833333333,1.9024166666666666,False,False,False,False,False,False,False,False,False
3263,0,109,4,19,8.389166666666666,13.997,2.624,0.0,6.404999999999999,70.38733333333333,1.9542916666666665,False,False,False,False,False,False,False,False,False
3263,0,110,4,20,9.083541666666667,14.458,3.563,0.0,6.265,69.68508333333334,2.331583333333333,False,False,False,False,False,False,False,False,False
3263,0,111,4,21,9.284,15.557,4.113,0.0,5.471,69.432625,2.4743749999999998,False,False,False,False,False,False,False,False,False
3263,0,112,4,22,8.167916666666667,13.957,4.586,1.624,3.387,71.90016666666666,2.112791666666667,False,False,False,False,False,True,False,False,False
3263,0,113,4,23,7.924541666666666,13.178,0.243,11.675,3.8689999999999998,73.77254166666667,2.0069583333333334,False,False,False,False,False,True,True,True,False
3263,0,114,4,24,9.883541666666668,17.175,2.924,0.0,7.309,69.18666666666667,2.3054583333333336,False,False,False,False,False,False,False,False,False
3263,0,115,4,25,7.327875,14.292,1.078,0.0,9.659,70.74420833333333,2.3069583333333337,False,False,False,False,False,False,False,False,False
3263,0,116,4,26,9.074375,16.484,0.921,0.0,7.297,69.31145833333333,2.0155416666666666,False,False,False,False,False,False,False,False,False
3263,0,117,4,27,9.58325,15.566,2.222,2.222,9.614,69.52241666666667,2.036625,False,False,False,False,False,True,False,False,False
3263,0,118,4,28,7.863541666666666,13.501,1.843,16.542,5.353,75.23908333333334,2.2087083333333335,False,False,False,False,False,True,True,True,False
3263,0,119,4,29,9.21575,13.738,4.279,4.025,6.791,69.91325,2.191291666666667,False,False,False,False,False,True,False,False,False
3263,0,120,4,30,8.372708333333334,14.572,1.643,9.463000000000001,7.247,72.908625,2.2204166666666665,False,False,False,False,False,True,True,False,False
3263,0,121,5,1,13.054916666666665,17.895,9.048,0.0,9.112,72.65329166666668,1.72225,False,False,False,False,False,False,False,False,False
3263,0,122,5,2,12.926875,17.916,7.439,0.0,7.7909999999999995,71.921125,1.901625,False,False,False,False,False,False,False,False,False
3263,0,123,5,3,11.897,17.819,3.105,6.531,2.992,74.13975,2.2325,False,False,False,False,False,True,True,False,False
3263,0,124,5,4,11.85025,20.45,4.541,3.675,10.305,74.72045833333333,1.9754166666666666,False,False,False,False,False,True,False,False,False
3263,0,125,5,5,12.760458333333332,19.73,4.704,20.208000000000002,4.536,77.77166666666666,2.64925,False,False,False,False,False,True,True,True,False
3263,0,126,5,6,14.800041666666667,20.431,9.457,4.187,7.383,71.95229166666667,2.2155,False,False,False,False,False,True,False,False,False
3263,0,127,5,7,13.272166666666665,20.064,7.263,5.258,2.538,71.26950000000001,2.23075,False,False,False,False,False,True,True,False,False
3263,0,128,5,8,12.818833333333332,19.147,5.267,0.876,8.850999999999999,72.12429166666666,2.2359166666666668,False,False,False,False,False,False,False,False,False
3263,0,129,5,9,13.401041666666666,16.918,10.195,0.0,6.029,72.83279166666667,2.1041250000000002,False,False,False,False,False,False,False,False,False
3263,0,130,5,10,13.392083333333334,21.337,4.717,0.0,8.673,71.082375,2.02825,False,False,False,False,False,False,False,False,False
3263,0,131,5,11,12.737499999999999,19.075,7.304,0.0,6.175,73.17891666666667,1.8895833333333334,False,False,False,False,False,False,False,False,False
3263,0,132,5,12,12.922791666666667,20.762,4.829,0.277,6.192,72.62483333333334,1.8797916666666667,False,False,False,False,False,False,False,False,False
3263,0,133,5,13,14.339208333333334,22.031,7.24,13.102,6.77,73.521,2.364875,False,False,False,False,False,True,True,True,False
3263,0,134,5,14,14.330583333333335,20.893,8.111,0.0,9.067,71.039625,1.8190833333333334,False,False,False,False,False,False,False,False,False
3263,0,135,5,15,12.51175,17.673,7.457,14.413,3.689,74.58958333333334,2.2824583333333335,False,False,False,False,False,True,True,True,False
3263,0,136,5,16,12.497916666666667,19.193,6.666,18.119,3.485,76.07879166666667,2.2041666666666666,False,False,False,False,False,True,True,True,False
3263,0,137,5,17,11.202458333333333,16.941,3.82,0.0,9.777,74.07470833333333,2.183708333333333,False,False,False,False,False,False,False,False,False
3263,0,138,5,18,13.645125,18.917,8.177,0.0,7.439,72.5585,1.9673333333333334,False,False,False,False,False,False,False,False,False
3263,0,139,5,19,13.597499999999998,21.299,6.435,0.0,3.004,71.94379166666667,1.8495416666666669,False,False,False,False,False,False,False,False,False
3263,0,140,5,20,11.4415,17.871,5.497,0.0,10.438,72.34583333333333,1.947,False,False,False,False,False,False,False,False,False
3263,0,141,5,21,12.035458333333333,19.86,4.73,0.0,6.791,71.428,2.0708333333333333,False,False,False,False,False,False,False,False,False
3263,0,142,5,22,12.281875,17.316,6.628,0.0,7.703,72.07837500000001,2.2260833333333334,False,False,False,False,False,False,False,False,False
3263,0,143,5,23,12.02625,17.322,5.07,5.3629999999999995,6.413,74.26591666666667,2.3885833333333335,False,False,False,False,False,True,True,False,False
3263,0,144,5,24,13.439124999999999,19.733,6.325,0.0,6.406,70.05083333333333,2.0530833333333334,False,False,False,False,False,False,False,False,False
3263,0,145,5,25,12.394666666666666,20.079,5.55,1.6989999999999998,1.357,73.5985,1.9000833333333331,False,False,False,False,False,True,False,False,False
3263,0,146,5,26,13.21325,19.938,7.556,0.0,9.483,71.37925,2.37675,False,False,False,False,False,False,False,False,False
3263,0,147,5,27,12.507916666666667,19.15,5.472,3.635,8.521,73.76845833333333,2.0136666666666665,False,False,False,False,False,True,False,False,False
3263,0,148,5,28,12.923499999999999,19.757,7.348,2.808,7.876,73.02891666666666,2.2887083333333336,False,False,False,False,False,True,False,False,False
3263,0,149,5,29,13.500333333333332,21.992,7.141,0.0,4.381,73.12670833333333,2.2308333333333334,False,False,False,False,False,False,False,False,False
3263,0,150,5,30,14.423208333333333,19.681,8.437,0.0,7.594,71.85695833333334,1.8301666666666667,False,False,False,False,False,False,False,False,False
3263,0,151,6,1,15.453166666666666,18.978,10.211,13.855,5.89,74.30975,2.0130833333333333,False,False,False,False,False,True,True,True,False
3263,0,152,6,2,14.935666666666668,21.63,9.844,0.0,6.848,73.11516666666667,1.9444583333333334,False,False,False,False,False,False,False,False,False
3263,0,153,6,3,18.576583333333335,27.355,10.456,11.746,6.45,74.36329166666667,2.2035416666666667,False,False,False,True,False,True,True,True,False
3263,0,154,6,4,15.672125,20.983,10.649,0.0,10.677,71.30908333333333,2.064416666666667,False,False,False,False,False,False,False,False,False
3263,0,155,6,5,15.263416666666666,21.453,9.402,0.0,10.475,73.75841666666666,2.245083333333333,False,False,False,False,False,False,False,False,False
3263,0,156,6,6,16.408291666666667,28.832,4.262,0.0,8.16,73.7945,2.21925,False,False,False,True,False,False,False,False,False
3263,0,157,6,7,16.15308333333333,21.607,9.486,10.013,5.889,74.916875,2.2265833333333336,False,False,False,False,False,True,True,True,False
3263,0,158,6,8,17.174,27.093,7.477,0.0,5.016,72.37525000000001,2.2678333333333334,False,False,False,True,False,False,False,False,False
3263,0,159,6,9,15.723958333333334,20.788,8.914,0.0,6.76,72.252,2.1047083333333334,False,False,False,False,False,False,False,False,False
3263,0,160,6,10,16.00166666666667,23.391,10.905,20.63,5.014,74.67891666666667,2.1607083333333335,False,False,False,False,False,True,True,True,False
3263,0,161,6,11,18.45658333333333,24.716,9.556,14.567,11.088,73.676125,2.0589166666666667,False,False,False,False,False,True,True,True,False
3263,0,162,6,12,20.285166666666665,27.033,14.201,12.0,2.285,73.11595833333332,2.137625,False,False,False,True,False,True,True,True,False
3263,0,163,6,13,16.123541666666664,23.332,10.606,0.0,9.287,71.05875,2.097916666666667,False,False,False,False,False,False,False,False,False
3263,0,164,6,14,17.09241666666667,23.907,10.473,0.0,10.667,70.61233333333332,1.9966249999999999,False,False,False,False,False,False,False,False,False
3263,0,165,6,15,16.651791666666664,23.19,10.145,0.0,7.118,72.04195833333334,2.0897916666666667,False,False,False,False,False,False,False,False,False
3263,0,166,6,16,17.893041666666665,26.209,10.384,0.0,9.051,71.05554166666667,1.8909583333333335,False,False,False,True,False,False,False,False,False
3263,0,167,6,17,16.9805,22.425,11.809,0.0,5.837,72.14516666666667,2.1614583333333335,False,False,False,False,False,False,False,False,False
3263,0,168,6,18,16.190208333333334,24.017,11.117,0.287,4.255,74.96333333333332,2.23525,False,False,False,False,False,False,False,False,False
3263,0,169,6,19,14.282000000000002,23.437,4.824,0.072,7.6450000000000005,73.33479166666667,2.0069166666666667,False,False,False,False,False,False,False,False,False
3263,0,170,6,20,16.0645,25.275,8.226,6.276,9.203,73.0805,2.1137916666666667,False,False,False,True,False,True,True,False,False
3263,0,171,6,21,18.585541666666668,25.321,11.868,2.157,10.562,72.45816666666667,2.106333333333333,False,False,False,True,False,True,False,False,False
3263,0,172,6,22,16.48966666666667,21.413,10.815,1.191,6.593,71.43058333333333,2.122666666666667,False,False,False,False,False,True,False,False,False
3263,0,173,6,23,16.23225,20.984,11.926,0.0,6.051,72.17245833333332,2.050125,False,False,False,False,False,False,False,False,False
3263,0,174,6,24,16.199791666666666,23.116,9.286,0.0,7.49,72.55554166666667,1.9111666666666667,False,False,False,False,False,False,False,False,False
3263,0,175,6,25,17.901374999999998,22.704,12.564,7.202,8.69,73.166375,2.0416250000000002,False,False,False,False,False,True,True,False,False
3263,0,176,6,26,17.903333333333332,25.194,10.84,0.0,7.575,72.07175,1.8425416666666667,False,False,False,True,False,False,False,False,False
3263,0,177,6,27,16.11520833333333,22.662,10.217,39.783,0.975,78.20970833333332,2.166333333333333,False,False,False,False,False,True,True,True,False
3263,0,178,6,28,16.30275,26.903,8.758,2.0229999999999997,6.222,73.30170833333334,2.182,False,False,False,True,False,True,False,False,False
3263,0,179,6,29,15.435333333333332,21.803,9.574,0.0,11.623,72.69779166666667,2.068375,False,False,False,False,False,False,False,False,False
3263,0,180,6,30,14.191875000000001,21.831,5.467,0.0,8.375,73.61658333333334,2.18425,False,False,False,False,False,False,False,False,False
3263,0,181,7,1,17.121458333333333,26.603,7.978,0.0,9.104,71.522125,2.0828333333333333,False,False,False,True,False,False,False,False,False
