seed,model_year_index,month,temperature_mean_c,temperature_daily_max_mean_c,temperature_daily_min_mean_c,precipitation_native_30d_mm,sunshine_native_30d_hours,humidity_pct,wind_m_s,ice_days_native_30d,frost_days_native_30d,summer_days_native_30d,heat_days_native_30d,snow_cover_days_native_30d,precip_days_ge_1mm_native_30d,precip_days_ge_5mm_native_30d,precip_days_ge_10mm_native_30d,precip_days_ge_50mm_native_30d,precipitation_total_mm,sunshine_hours,ice_days,frost_days,summer_days,heat_days,snow_cover_days,precip_days_ge_1mm,precip_days_ge_5mm,precip_days_ge_10mm,precip_days_ge_50mm,sunshine_pct,month_label
3297,34,2,1.234476388888889,5.032166666666667,-2.8894333333333333,99.941,104.338,80.06796527777779,2.057823611111111,0,30,0,0,9,11,6,4,0,94.16663122215667,98.30958233815332,0.0,28.2666667,0.0,0.0,8.48000001,10.364444456666666,5.65333334,3.768888893333333,0.0,33.473853063843436,Feb
3297,34,3,5.325859722222222,10.689866666666667,0.049533333333333346,73.888,142.148,73.540925,2.216165277777778,0,13,0,0,3,8,7,2,0,76.35093333333333,146.88626666666664,0.0,13.433333333333334,0.0,0.0,3.1,8.266666666666666,7.233333333333333,2.0666666666666664,0.0,39.75055928411633,Mar
3297,34,4,8.814780555555556,15.123066666666666,2.5131,78.153,180.232,70.77789722222222,2.1302180555555554,0,1,0,0,0,8,7,3,0,78.153,180.232,0.0,1.0,0.0,0.0,0.0,8.0,7.0,3.0,0.0,44.01269841269841,Apr
3297,34,5,13.480272222222222,20.010266666666666,7.194366666666666,104.454,140.07,72.79026805555556,2.0702069444444446,0,0,0,0,0,12,8,5,0,107.9358,144.73899999999998,0.0,0.0,0.0,0.0,0.0,12.4,8.266666666666666,5.166666666666666,0.0,30.87962962962963,May
3297,34,6,16.83855416666667,23.483600000000003,9.8639,113.468,215.936,72.54389444444445,2.027388888888889,0,0,4,0,0,8,6,4,1,113.468,215.936,0.0,0.0,4.0,0.0,0.0,8.0,6.0,4.0,1.0,45.15600167294021,Jun
3297,34,7,18.607031944444444,26.2989,10.511833333333334,103.303,221.027,71.79262361111111,1.942795833333333,0,0,22,1,0,9,7,5,0,106.74643333333333,228.39456666666663,0.0,0.0,22.73333333333333,1.0333333333333332,0.0,9.299999999999999,7.233333333333333,5.166666666666666,0.0,47.288617886178855,Jul
3297,34,8,18.020333333333333,25.99863333333333,10.260266666666666,105.174,221.982,73.87614861111112,1.8066291666666667,0,0,18,2,0,11,6,6,0,108.67980000000001,229.38139999999999,0.0,0.0,18.599999999999998,2.0666666666666664,0.0,11.366666666666665,6.2,6.2,0.0,51.78026592022393,Aug
3297,34,9,14.246865277777777,20.078833333333332,8.0923,66.42099999999999,180.762,79.49325972222223,1.7146680555555556,0,0,0,0,0,10,6,1,0,66.42099999999999,180.762,0.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,47.707046714172606,Sep
3297,34,10,9.479536111111111,14.663333333333332,4.482766666666667,52.015,122.192,84.5046263888889,1.6801180555555557,0,0,0,0,0,7,4,1,0,53.74883333333333,126.26506666666667,0.0,0.0,0.0,0.0,0.0,7.233333333333333,4.133333333333333,1.0333333333333332,0.0,37.09532483302974,Oct
3297,34,11,4.1304847222222225,8.078766666666667,0.1545333333333333,78.664,67.249,86.77962638888889,1.663011111111111,0,12,0,0,0,9,5,4,0,78.664,67.249,0.0,12.0,0.0,0.0,0.0,9.0,5.0,4.0,0.0,23.771297278190175,Nov
3297,34,12,0.891275,4.335033333333333,-2.5867666666666667,86.852,52.821,86.69555972222223,1.915965277777778,0,30,0,0,15,12,5,2,0,89.74706666666667,54.5817,0.0,31.0,0.0,0.0,15.5,12.4,5.166666666666666,2.0666666666666664,0.0,20.473255813953486,Dec
3298,35,1,-0.12876666666666667,3.2259333333333333,-3.4499333333333335,42.061,65.023,84.41144583333333,1.8858722222222222,0,30,0,0,8,8,3,1,0,43.46303333333333,67.19043333333333,0.0,31.0,0.0,0.0,8.266666666666666,8.266666666666666,3.1,1.0333333333333332,0.0,24.082592592592594,Jan
3298,35,2,0.9878097222222222,4.850766666666667,-2.8350666666666666,52.311,108.197,79.57746388888889,2.088347222222222,0,30,0,0,8,8,4,1,0,49.28858672479,101.94561789799666,0.0,28.2666667,0.0,0.0,7.537777786666666,7.537777786666666,3.768888893333333,0.9422222233333333,0.0,34.71190247032403,Feb
3298,35,3,4.963827777777778,9.937333333333333,-0.3701666666666667,97.239,151.017,74.03130555555555,2.3029583333333337,0,20,0,0,4,15,7,4,0,100.48030000000001,156.0509,0.0,20.666666666666664,0.0,0.0,4.133333333333333,15.5,7.233333333333333,4.133333333333333,0.0,42.230704697986575,Mar
3298,35,4,8.871366666666667,14.902199999999999,2.7867333333333333,80.91,190.81,70.83748472222221,2.214476388888889,0,0,0,0,0,8,6,4,0,80.91,190.81,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,0.0,46.595848595848594,Apr
