"participant_id","cluster_k2","silhouette_k2","cluster_k3","silhouette_k3","cluster_k4","silhouette_k4","cluster_k5","silhouette_k5","cluster_k6","silhouette_k6","cluster_k7","silhouette_k7","cluster_k8","silhouette_k8"
"6929",1,0.464049630987154,1,0.544439871277629,1,0.569132645226106,1,0.0151213186877771,1,0.0375496563695667,1,0.214018993688264,3,-0.0943297878189709
"6951",2,0.443837291580437,3,0.491741771641763,3,0.536851499431459,4,0.516941271853318,4,0.463412137360287,5,0.482612340054575,6,0.50175297673591
"6952",2,0.32635941189662,3,0.351101192498485,3,0.384959960078983,4,0.307504707346438,4,0.319694922153452,5,0.347495935995563,6,0.346629348673345
"6955",1,0.0159795639920664,1,0.00707485370696015,4,0.54377761550064,5,0.514430692827623,5,0.628629202578541,6,0.582923478921905,7,0.677763492614299
"6960",1,0.208490474242574,1,0.274570535228779,1,0.29744421406107,1,0.326377301329745,1,0.326528358162203,1,0.127607794650272,1,0.213730805122971
"6970",1,-0.0272286033058868,1,-0.0179986829586414,1,-0.0304440009065,4,0.0408095119226141,4,-0.0786300737935014,5,-0.0938259391014587,6,-0.161923656024541
"6975",2,0.447921382256926,3,0.49156439080374,3,0.541693182645103,4,0.502049014948334,4,0.488904351134476,5,0.502107554943131,6,0.50947132240547
"6977",2,0.429825792903667,3,0.474435465362582,3,0.513183233278818,4,0.48518991297447,4,0.422280116504804,5,0.435227792268318,6,0.462633607351878
"6984",2,0.461698152021851,3,0.505302166182938,3,0.517106449726788,4,0.495890857559248,4,0.473301514181835,5,0.488022649199915,6,0.486301147428515
"6991",2,0.212381425464896,2,-0.1074824032115,2,-0.0829195559624247,3,-0.0657639610951647,3,0.0154080077097216,4,0.0434383834524446,4,-0.0217631272837823
"6992",2,0.359599339059534,3,0.427371074716597,3,0.482669978065201,4,0.389382504353635,4,0.412323227616991,5,0.424976871052,6,0.425399826187978
"6997",1,0.405845732391243,1,0.4548007147533,1,0.480562563817369,1,0.145272167085313,1,0.148300445864596,2,0.301088250835564,2,0.229031729834661
