"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"7075",1,"Ja",0,"Studium",,0.166666666666667,0.333333333333333,0.15,0.888888888888889,0.833333333333333,0.6,0.833333333333333,0,0.125,40,10,10,0,8,1.5,8.5,360,480,1080,1380,45,120,12,2,1,5,2,2,4,24.9560223687002,1,1,0,32,TRUE
"7078",1,"Ja",0,"Studium",,0.166666666666667,0.166666666666667,0.4,0.611111111111111,0.958333333333333,0.8,0.611111111111111,0.5,0.4375,40,10,12,0,24,0.333333333333333,3.83333333333333,390,540,960,1410,90,360,29.5,0.1,1,2,3,1,2,23.0312737427873,1,4,1,30,TRUE
"7079",1,"Ja",0,"Studium",,0.333333333333333,0.166666666666667,0,0.666666666666667,0.666666666666667,0.8,0.666666666666667,0.75,0.875,40,5,12,0,14,3.66666666666667,17.6666666666667,495,540,1080,1440,120,180,10,5,5,2,2,2,4,23.0942456039481,2,3,0,35,TRUE
"7089",1,"Ja",0,"Studium",,0.208333333333333,0.25,0.05,0.5,1,0.866666666666667,0.694444444444445,0.75,0.75,40,8,10,0,60,0.666666666666667,4,360,480,1080,1320,120,120,32,10,1,5,1,1,1,23.0066325797244,1,4,0,34,TRUE
"7134",1,"Ja",0,"Sonstiges","Studium + 4'% angestellt",0,0.333333333333333,0.2,0.222222222222222,0.208333333333333,0.833333333333333,0.611111111111111,0.333333333333333,0.3125,40,6,30,7,7,2,4.33333333333333,390,495,1020,1380,180,60,40,0.5,1,1,4,1,3,28.0827121706811,4,2,0,16,TRUE
"7136",1,"Ja",0,"Studium",,0.166666666666667,0.333333333333333,0.3,0.722222222222222,0.958333333333333,0.8,0.444444444444444,0.75,0.5,40,5,15,15,50,1.16666666666667,2.66666666666667,360,480,1080,1350,180,240,11,11,1,3,3,1,2,26.5823391308514,1,2,0,32,TRUE
"7141",1,"Ja",0,"Arbeitslos",,0.333333333333333,0.583333333333333,0.25,0.5,0.5,0.633333333333333,0.444444444444444,0.583333333333333,0.5625,8,2,30,30,6,1.75,5.5,480,540,1200,1410,300,480,0,10,1,2,3,3,4,48.5047605358084,2,2,0,20,TRUE
"7149",1,"Ja",0,"Sonstiges","ich studiere und arbeite gleichzeitig",0.125,0.416666666666667,0,0.444444444444444,0.625,0.666666666666667,0.555555555555555,0.5,0.625,40,2,8,4,6,2.25,6.41666666666667,450,540,960,1320,60,60,4,1,0.5,2,2,2,4,21.2790132583147,2,2,0,42,TRUE
"7173",1,"Ja",0,"Studium",,0.291666666666667,0.583333333333333,0.15,0.666666666666667,0.5,0.833333333333333,0.527777777777778,0.583333333333333,0.4375,40,40,10,0,50,3.33333333333333,24.3333333333333,390,480,1140,1320,45,240,106,5,3,3,2,1,2,20.3974072020644,1,4,0,2,TRUE
"7186",1,"Ja",0,"Studium",,0.458333333333333,0.333333333333333,0.05,0.333333333333333,0.458333333333333,0.7,0.444444444444444,0.833333333333333,0.6875,40,12,4,2,7,4,6.33333333333333,360,480,1080,1380,120,120,34,2.8,3,3,3,2,2,21.4022190736292,,4,0,36,TRUE
"7187",1,"Ja",0,"Studium",,0.333333333333333,0.333333333333333,0.35,0.666666666666667,0.916666666666667,0.566666666666667,0.333333333333333,0.416666666666667,0.4375,40,10,10,5,20,3,38,420,495,1020,1380,180,300,10,2,1,3,1,2,3,21.9388488469989,1,4,1,32,TRUE
"7190",1,"Ja",0,"Studium",,0.791666666666667,0.5,0.35,0.666666666666667,0.458333333333333,0.466666666666667,0.555555555555555,0.583333333333333,0.5,30,12,6,0,,25,55,570,630,990,1425,120,360,,,,4,3,2,4,18.7409734628363,2,2,0,34,TRUE
"7192",1,"Ja",0,"Arbeitslos",,0.25,0.583333333333333,0.45,0.833333333333333,0.708333333333333,0.566666666666667,0.666666666666667,0.416666666666667,0.625,0,52,30,0,0.5,7.83333333333333,21.8333333333333,450,451,452,1620,720,720,2,5,0,4,1,2,5,18.7081185787525,4,2,0,-30,FALSE
"7193",1,"Ja",0,"Studium",,0.708333333333333,0.916666666666667,0.8,0.833333333333333,0.916666666666667,1,0.638888888888889,0.583333333333333,0.6875,40,3,12,0,10,1,1,360,495,1095,1410,90,30,43,8.2,1.6,4,2,1,1,24.5727153877219,2,3,0,37,TRUE
"7197",1,"Ja",0,"Angestellt",,0,0.5,0.5,0.777777777777778,0.416666666666667,0.766666666666667,0.805555555555555,0.333333333333333,0.625,40,5,20,20,20,1,4.5,360,480,1080,1350,60,90,25,4,0.5,2,1,1,4,43.2753581524603,10,4,2,27,TRUE
"7203",1,"Ja",0,"Studium",,0.166666666666667,0.333333333333333,0.25,0.444444444444444,0.625,0.533333333333333,0.638888888888889,0.25,0.4375,32,10,20,0,8,2.08333333333333,5,290,510,930,1260,120,120,7,2,1,3,2,1,4,24.9012642285605,1,1,0,22,TRUE
"7212",1,"Ja",0,"Studium",,0.458333333333333,0.75,0,0.833333333333333,0.833333333333333,1,0.611111111111111,0.833333333333333,0.3125,6,7,12,10,22,4.66666666666667,5.33333333333333,405,495,1020,1320,120,120,42,4,1,2,2,2,2,25.6760919115382,2,3,1,33,TRUE
"7230",1,"Ja",0,"Sonstiges","Studium +Teilzeittätigkeit",0.0416666666666667,0.166666666666667,0.3,0.444444444444444,0.958333333333333,0.766666666666667,0.5,0.5,0.4375,40,15,6,0,20,0.25,2.75,405,465,1050,1320,60,240,100,4,5,3,1,1,3,37.1314948287781,1,2,0,31,TRUE
"7234",1,"Ja",0,"Angestellt",,0.458333333333333,0.666666666666667,0.4,0.444444444444444,0.375,0.5,0.583333333333333,0.5,0.4375,40,1,10,3,3,4,6,480,540,1020,1380,60,45,3,3,2,3,3,3,4,35.8200373724306,8,1,0,41,TRUE
"7240",1,"Ja",0,"Sonstiges","Pensioniert",0.291666666666667,0.333333333333333,0.45,0.5,0.375,0.533333333333333,0.583333333333333,0.666666666666667,0.5,0,4,30,30,10,2,4,300,420,1020,1290,30,240,0,2,0.5,3,2,1,3,72.8091610368454,10,4,1,18,TRUE
"7243",1,"Ja",0,"Angestellt",,0.791666666666667,0.333333333333333,0.4,0.5,0.666666666666667,1,0.666666666666667,1,1,40,5,45,4,12,3,6.5,315,420,1020,1410,30,30,70,7,0.5,3,2,1,1,41.7120132514699,10,2,0,2,TRUE
"7247",1,"Ja",0,"Angestellt",,0,0.416666666666667,0.05,0.166666666666667,0.666666666666667,0.6,0.222222222222222,0.416666666666667,0.9375,32,5,39,0,5,0,0.166666666666667,330,450,1110,1320,90,120,9,15,0.1,4,1,1,1,55.2208464239512,10,1,0,8,TRUE
